node idx,node anomaly score
4,0.0012489925138652325
5,0.00032299707527272403
10,0.11853405833244324
14,0.0
15,0.0
20,0.0
22,0.0011934578651562333
23,5.383990016918352e-15
25,2.950822475256132e-09
26,1.207211516884854e-05
29,4.799477607194773e-17
30,3.928608993675198e-09
36,5.37779731857313e-09
38,3.160813503200188e-05
39,0.07666649669408798
40,0.17587119340896606
42,8.88022332219407e-05
44,0.5277556777000427
45,0.0
48,0.0
49,6.604408554267138e-05
50,0.0002677325683180243
54,9.663380096114338e-10
55,6.375927569024498e-06
59,0.011362389661371708
63,0.00036029095645062625
68,0.012812497094273567
69,4.40332570406099e-09
77,0.0
78,0.0
81,7.201117757808416e-21
86,4.4340058025227336e-07
88,0.0
95,1.0146282036771481e-08
100,0.0
103,1.3279068535895716e-22
112,2.172597305616364e-05
114,0.39142268896102905
115,0.0
117,0.21660935878753662
126,0.4145330786705017
128,0.0
130,0.2664478123188019
131,2.7689045412786824e-15
132,0.0029553372878581285
133,0.0
135,0.03731317073106766
136,0.0
137,0.006675548851490021
138,0.0
139,1.4234898060294654e-07
141,0.21514064073562622
143,0.0
147,6.455685378631282e-12
149,2.907869657065021e-06
154,3.087851396799124e-08
158,0.01958705112338066
161,2.398282128446283e-10
162,0.0
165,2.3710782367466637e-25
166,0.0056426553055644035
167,0.002572412835434079
168,0.14923760294914246
170,1.7458260614944265e-08
172,0.03048975206911564
175,5.113291194902558e-07
177,7.031384029687615e-06
179,7.047827294359722e-25
182,0.08644614368677139
183,0.0
184,0.0
185,0.5730993151664734
186,0.001405707560479641
190,0.0
191,0.1347060650587082
202,0.3871615529060364
208,0.0007380570750683546
210,6.8444937824097e-06
212,6.537947048270121e-25
213,2.7291517705092612e-21
218,0.0
223,7.861839379768888e-35
224,0.0
225,2.8840188903700437e-08
228,0.0
229,0.0
231,4.0421760975924464e-35
236,0.05612144619226456
238,0.0894707441329956
242,4.550006948988994e-08
243,0.15493054687976837
244,0.0
247,3.954292422610238e-15
250,6.211230356711894e-05
251,0.6314429044723511
252,6.342202696178745e-13
253,0.0
254,3.66213308238421e-23
261,2.0821757979089713e-23
262,0.14239948987960815
263,0.003204057924449444
266,5.286872827546529e-13
267,1.776088118197734e-15
269,0.003334257984533906
274,7.31805585019174e-08
276,1.1583821575567033e-11
286,1.6897003003937841e-23
287,3.1998656464411695e-30
290,2.6817701339690457e-22
291,0.08540663123130798
292,0.06799288839101791
294,1.1658500499635988e-14
296,0.00011659380106721073
300,0.6956546902656555
301,9.799578938413667e-18
303,0.00016281261923722923
304,3.3321834180810583e-09
305,3.1664010748500004e-05
307,2.053935296039526e-14
310,7.651383324668026e-13
311,9.540020995402188e-10
314,0.0
315,0.7345414161682129
316,0.0
317,0.0002754810266196728
319,0.05189592391252518
320,0.05200996994972229
321,6.114860548148842e-16
324,7.503399290786916e-11
325,3.7757938997629026e-09
331,1.6604037256229276e-08
332,0.0
333,0.0
335,0.0
340,1.90748758022491e-21
342,8.783609497410266e-27
343,1.0757073584668299e-16
344,6.726520796396744e-25
354,0.2635045647621155
359,6.898108949826565e-06
360,1.4963546163926367e-05
362,0.017615120857954025
365,4.624645538232169e-28
368,0.7266351580619812
370,0.6141119003295898
371,6.08733138185766e-22
376,0.0
379,0.0
380,0.0008741248748265207
384,1.7816580433205331e-09
390,7.582107007129621e-15
394,1.3676498770148983e-25
397,1.9221473032487134e-14
401,5.068683696368833e-15
403,0.0007370589883066714
408,0.00035593740176409483
410,0.0
416,0.4201468825340271
419,0.0
420,2.957570177386515e-05
421,0.24206437170505524
423,0.0006742855766788125
425,3.7150038402948943e-19
427,0.002757925307378173
431,0.6312636137008667
432,0.0
434,0.00020373523875605315
435,6.976418080739677e-05
437,0.04865695536136627
438,0.2548688054084778
440,0.0
442,5.0586950237629935e-06
443,1.3687990758626256e-06
451,1.9688514707461024e-11
457,7.162854308262467e-05
458,0.0
459,3.983849182986887e-06
462,0.0
465,0.0
466,1.1421644879883175e-11
468,0.0
469,0.0002655939315445721
470,6.771284461137839e-06
471,6.293535648183024e-08
473,3.872194611176383e-06
474,7.615061008436896e-07
475,0.1267268806695938
477,0.7117283344268799
479,0.0
482,5.611459102941536e-24
483,0.0
489,0.0
494,0.0
495,1.0283013860985096e-15
496,0.38460418581962585
497,0.0
499,5.131462330609793e-06
504,0.2545248568058014
505,5.345854886332179e-18
510,2.3524426069343463e-05
512,0.0
515,7.056909310382276e-13
517,0.0
522,0.0
526,2.723561653983353e-10
527,0.055574335157871246
532,7.374382704483651e-08
535,1.905964719384201e-09
538,0.7293329834938049
539,2.005582609854173e-05
545,1.512077797919947e-26
550,0.03386854752898216
554,0.0
555,9.433945291625889e-11
558,0.360302597284317
560,2.5047907744788454e-15
564,0.0
566,0.0
567,1.1434671250754036e-05
568,0.06995296478271484
569,6.3681531200684165e-25
570,9.443067483516643e-08
572,0.0
575,0.0
576,0.009887895546853542
578,2.839286873258638e-29
583,0.0
586,0.7474323511123657
591,0.4533695578575134
592,0.0
597,1.2797477279763921e-36
601,8.532006044248427e-17
602,6.556975795657394e-11
604,0.04064412787556648
605,0.025271134451031685
607,2.534609078608946e-13
608,0.0
613,0.0036721096839755774
614,0.000798109860625118
615,0.0
618,0.0
621,1.6351493320162017e-14
623,4.303339969741387e-17
627,1.6272507536996272e-06
629,0.0
631,3.5142434352162546e-23
632,4.219012694761659e-09
633,0.0
636,0.0
637,0.0
639,0.04057382792234421
640,4.91109585709637e-06
646,9.514244147808607e-27
650,0.0
651,1.9618603419209093e-22
653,0.03088039718568325
654,0.0
656,4.4168639476579286e-26
660,8.396320481551811e-05
661,0.0
664,2.1149988298645612e-37
665,0.06924906373023987
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
674,0.0
675,4.853704353990906e-07
676,2.39443990992724e-31
677,0.0
681,0.0
682,0.00014690958778373897
686,3.185908334788799e-37
690,0.3429698050022125
691,0.4114045202732086
692,0.0
693,0.0
694,0.8022537231445312
697,2.189946279873567e-10
698,0.0
702,0.0
707,1.8478842316992788e-13
719,0.27152469754219055
722,0.023575304076075554
723,0.05847296491265297
725,0.041557878255844116
731,0.0
733,0.00021362055849749595
734,4.5423334427141526e-08
736,0.027037953957915306
738,0.08609446883201599
740,7.980105874594301e-05
741,0.164799764752388
743,0.012904568575322628
744,0.0
755,3.443956223324935e-17
757,0.0
758,4.093695868401248e-12
760,1.864427050386347e-18
761,0.4499495327472687
764,0.0
766,2.372440893912142e-13
768,5.871056055184454e-05
769,0.0027338992804288864
770,4.437715688254684e-05
773,0.0
774,0.30340713262557983
777,0.0
778,0.1470659226179123
781,0.0
785,0.0
787,2.865232509172389e-32
788,4.1419553897803496e-10
794,0.0
795,2.3364918333435014e-10
796,0.09537313133478165
800,0.010687701404094696
801,0.005415093619376421
808,0.0040938942693173885
811,7.569959104003487e-10
812,0.0006289227749221027
813,0.0
816,4.011264209680121e-08
832,0.037704840302467346
836,0.0
837,0.0
839,0.0023716334253549576
843,0.0009885408217087388
847,4.460091368222502e-25
849,0.0
850,4.885750137795242e-11
853,7.394934705629657e-19
854,0.0
856,0.0
860,9.623210644349456e-06
861,2.8075829855422896e-11
